,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
I. Official reserve assets and other foreign currency assets (approximate market value),M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M1,M2,M3,M4,M05,M06,M07,M08,M09,M10,M11
,2015M1,2015M2,2015M3,2015M4,2015M5,2015M6,2015M7,2015M8,2015M9,2015M10,2015M11,2015M12,2016M1,2016M2,2016M3,2016M4,2016M5,2016M6,2016M7,2016M8,2016M9,2016M10,2016M11,2016M12,2017M1,2017M2,2017M3,2017M4,2017M5,2017M6,2017M7,2017M8,2017M9,2017M10,2017M11,2017M12,2018M1,2018M2,2018M3,2018M4,2018M5,2018M6,2018M7,2018M8,2018M9,2018M10,2018M11,2018M12,2019M1,2019M2,2019M3,2019M4,2019M5,2019M6,2019M7,2019M8,2019M9,2019M10,2019M11,2019M12,2020M1,2020M2,2020M3,2020M4,2020M5,2020M6,2020M7,2020M8,2020M9,2020M10,2020M11,2020M12,2021M1,2021M2,2021M3,2021M4,2021M5,2021M6,2021M7,2021M8,2021M9,2021M10,2021M11,2021M12,2022M1,2022M2,2022M3,2022M4,2022M5,2022M6,2022M7,2022M8,2022M9,2022M10,2022M11,2022M12,2023M1,2023M2,2023M3,2023M4,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11
of which: located abroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(iii) banks headquartered outside the reporting country,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,3,3.562110836,4,3.671977858,4,4,4,4,4,7,4,5,4,4,4,4,5,5,5,5,3,4,5,4,9,3,3,3,3,3,4,3,4,5,5,3,1,1,1,1,3,4,4,4,5,9,8,7,7,8,8,6,6,7
of which: located in the reporting country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2) IMF reserve position,2331,2135,1835,1772,1836,1805,1888,1989,2015,1973,1921,1900,1948,914,863,852,896,867,853,857,839,824,828,847,819,805,805,819,885,1075,997,1129,1132,1120,1079,1005,983,1016,1033,1034,1017,1355,1330,1395,1402,1532,1485,1907,1826,1858,1861,1954,1959,1950,2261.774314,2312,2267.437409,2230,2232,2243,2326,2386,2562,2755,3152,3090,2998,2964,3347,3524,3390,3288,3309,3249,3218,3335,3373,3423,3621,3631,3642,3478,3634,3626,3729,3649,3501,3523,3528,3704,3599,3618,3747,3816,3791,3823,3739,3832,3918,3994,4016,3848,3894,3974,3863,3836,3731
(3) SDRs,5302,5315,5305,5124,5305,5911,6057,6241,6350,6214,5955,5726,5873,5866,5542,5569,5453,4904,4818,4843,4778,4698,5168,5291,5109,5022,5078,5228,5290,5123,4986,5088,5103,5183,5292,5161,5107,5277,5388,5382,5298,5557,5994,6055,6086,6116,5917,6127,5978,6086,6095,6109,6199,6170,6210.791211,6434,6378.005541,6270,6396,6200,6416,6587,6964,6561,6479,6351,6163,6091,6173,6250,6012,5832,5821,5717,5763,5710,5770,5459,5564,17797,18806,17957,18762,18929,19466,18662,17772,18019,18029,18580,18053,18150,19142,17569,17880,18176,18044,19008,19336,19715,19822,19732,19716,20191,20007,20367,19852
"(4) gold (including gold deposits and, if appropriate, gold swapped)",4106,3950,3942,3749,3941,3865,3817,4025,4029,4079,3697,3639,3819,4050,3783,3933,3920,4165,4178,4080,4059,3913,3691,3751,3753,3825,3814,3968,3980,3782,3717,3889,3833,3877,3953,3876,3902,3961,4045,4062,3814,3739,3631,3661,3633,3790,3678,4005,4024,4080,4040,4026,4140,4440,4576.468737,5028,4863.90634,4821,4762,3395,4679,5454,5342,5399,5063,4612,4703,5031,5782,5391,4201,4397,4218,4351,4561,4952,5839,5568,5873,5716,5587,5416,5835,5590,5916,5973,5498,5664,5747,6262,5942,5903,5940,5163,4624,4900,5967,6437,6910,6834,6022,6019,6439,7402,7066,7375,7372
volume in millions of fine troy ounces,2.535,2.535,2.535,2.535,2.535,2.535,2.535,2.535,2.535,2.535,2.503,2.503,2.439,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.342,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.210092499,2.21,2.210092499,2.21,2.21,1.57,1.986,2.21,2.05,2.082,1.95,1.79,1.726,1.89,2.178,2.018,1.762,1.794,1.73,1.954,2.05,2.179,2.374,2.374,2.374,2.31,2.31,2.31,2.31,2.246,2.31,2.246,2.118,2.118,2.246,2.374,2.374,2.374,2.31,2.022,1.766,1.83,2.182,2.374,2.343,2.279,1.991,2.087,2.183,2.472,2.44,2.344,2.408
(5) other reserve assets (specify),227,359,164,645,894,599,541,-59,-245,445,529,418,506,-4,586,158,570,-311,199,570,453,889,1491,1485,756,325,307,457,530,1052,609,626,960,606,328,1209,347,-81,87,815,623,769,851,684,1078,840,837,-42,360,847,787,753,27,383,711.1319389,415,945.5034373,1140,1057,1085,648,302,-259,428,774,810,456,664,603,502,559,607,817,959,1254,947,925,1066,894,898,1087,1450,799,1092,788,878,1759,1878,1204,1392,632,857,858,3492,2195,1749,2517,3251,3187,3337,3407,4141,3790,4042,4129,4015,4043
financial derivatives,-360,-225,-430,72,304,16,-68,-666,-861,-179,-85,-185,-114,-628,-11,-449,-67,-938,-428,-60,-165,280,903,884,170,-256,-284,-147,-82,456,29,36,370,3,-293,599,-256,-695,-546,180,-9,140,226,42,437,194,196,-714,-311,165,95,66,-669,-324,-15.83387149,-329,203.9082473,408,309,353,-121,-489,-1061,-352,3,51,-277,-59,-145,-266,-187,-120,90,256,546,245,213,-53,-249,-250,-70,344,-362,-59,-394,-277,668,780,111,273,-462,-254,-261,46,-1197,-1662,-842,-182,-309,-224,-172,615,254,447,577,408,474
loans to nonbank nonresidents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
