MA_Ratio_1,MA_Ratio_2,MA_Ratio_3,rolling_corr_ret_6,rolling_corr_ret_7,rolling_corr_ret_8,rolling_var_3,rolling_var_4,spread
0.9538933940227623,0.9635201370738559,0.9728815949071749,-0.6033188419414757,-0.29458544238114936,0.7444167263853881,4.339497333331567e-06,3.3258093333314303e-06,-0.11760000000000015
0.9419804582484529,0.9538933940227623,0.9635201370738559,0.26823517555412746,-0.6033188419414757,-0.29458544238114936,4.949433333331787e-06,4.339497333331567e-06,-0.11609999999999987
0.9307140237121624,0.9419804582484529,0.9538933940227623,0.01687159939545243,0.26823517555412746,-0.6033188419414757,5.683529333331891e-06,4.949433333331787e-06,-0.121
0.9224364060495466,0.9307140237121624,0.9419804582484529,0.1945125528565468,0.01687159939545243,0.26823517555412746,6.9624173333321095e-06,5.683529333331891e-06,-0.11963999999999997
0.9152937746027114,0.9224364060495466,0.9307140237121624,-0.0003528068483081942,0.1945125528565468,0.01687159939545243,6.940277333332225e-06,6.9624173333321095e-06,-0.11836000000000002
0.9087150331451831,0.9152937746027114,0.9224364060495466,0.02593169591738447,-0.0003528068483081942,0.1945125528565468,6.918430666665676e-06,6.940277333332225e-06,-0.11721999999999988
0.9005336293613,0.9087150331451831,0.9152937746027114,0.5443738790226311,0.02593169591738447,-0.0003528068483081942,6.857833333332481e-06,6.918430666665676e-06,-0.11819000000000002
0.8930049093997899,0.9005336293613,0.9087150331451831,-0.08764763192599599,0.5443738790226311,0.02593169591738447,6.290784333332689e-06,6.857833333332481e-06,-0.10820000000000007
0.8818793139142899,0.8930049093997899,0.9005336293613,-0.004545004923443765,-0.08764763192599599,0.5443738790226311,5.6500609999995e-06,6.290784333332689e-06,-0.09731000000000001
0.8673504373977526,0.8818793139142899,0.8930049093997899,-0.11291028027140064,-0.004545004923443765,-0.08764763192599599,5.198588999999537e-06,5.6500609999995e-06,-0.09950999999999999
0.855009804268295,0.8673504373977526,0.8818793139142899,-0.12061920489947354,-0.11291028027140064,-0.004545004923443765,6.655983999999355e-06,5.198588999999537e-06,-0.09680999999999984
0.8446582704736066,0.855009804268295,0.8673504373977526,-0.3065878686689514,-0.12061920489947354,-0.11291028027140064,7.461903999999135e-06,6.655983999999355e-06,-0.09845999999999999
0.8342819053986027,0.8446582704736066,0.855009804268295,-0.23087088992989532,-0.3065878686689514,-0.12061920489947354,7.278099999999211e-06,7.461903999999135e-06,-0.09277000000000002
0.8236107608822985,0.8342819053986027,0.8446582704736066,-0.7143271460955174,-0.23087088992989532,-0.3065878686689514,7.219375666665872e-06,7.278099999999211e-06,-0.09645999999999999
0.8151727229707852,0.8236107608822985,0.8342819053986027,-0.7740225835997848,-0.7143271460955174,-0.23087088992989532,7.206420999999213e-06,7.219375666665872e-06,-0.09516000000000013
0.80636032650596,0.8151727229707852,0.8236107608822985,-0.9158637132343497,-0.7740225835997848,-0.7143271460955174,7.801424999999153e-06,7.206420999999213e-06,-0.09509999999999996
0.7982333648887545,0.80636032650596,0.8151727229707852,-0.8387810077622414,-0.9158637132343497,-0.7740225835997848,8.08790399999913e-06,7.801424999999153e-06,-0.09610000000000007
0.7912415158798543,0.7982333648887545,0.80636032650596,-0.8365801581301753,-0.8387810077622414,-0.9158637132343497,8.268069333332432e-06,8.08790399999913e-06,-0.0970899999999999
0.7824289206955731,0.7912415158798543,0.7982333648887545,-0.7669550194011379,-0.8365801581301753,-0.8387810077622414,8.60517733333243e-06,8.268069333332432e-06,-0.09899999999999998
0.775048334479679,0.7824289206955731,0.7912415158798543,0.12806307382332582,-0.7669550194011379,-0.8365801581301753,8.72358333333243e-06,8.60517733333243e-06,-0.09967999999999999
0.7685090090962958,0.775048334479679,0.7824289206955731,0.08598627597909221,0.12806307382332582,-0.7669550194011379,9.025308333332474e-06,8.72358333333243e-06,-0.10011999999999999
0.7627154217008087,0.7685090090962958,0.775048334479679,-0.0022097286265428647,0.08598627597909221,0.12806307382332582,9.549316666665849e-06,9.025308333332474e-06,-0.09817000000000009
0.7555418947091406,0.7627154217008087,0.7685090090962958,0.6593541997074602,-0.0022097286265428647,0.08598627597909221,1.0743558333332622e-05,9.549316666665849e-06,-0.09670999999999985
0.7528564098487419,0.7555418947091406,0.7627154217008087,0.021636956639829043,0.6593541997074602,-0.0022097286265428647,1.122230233333276e-05,1.0743558333332622e-05,-0.09678999999999993
0.7558474711592497,0.7528564098487419,0.7555418947091406,-0.7882370972282399,0.021636956639829043,0.6593541997074602,1.1339144333332815e-05,1.122230233333276e-05,-0.0998699999999999
0.7590121272055377,0.7558474711592497,0.7528564098487419,-0.5488189878139003,-0.7882370972282399,0.021636956639829043,1.0561280666666289e-05,1.1339144333332815e-05,-0.10121999999999987
0.7642422209473531,0.7590121272055377,0.7558474711592497,0.15317047917700125,-0.5488189878139003,-0.7882370972282399,1.050213066666633e-05,1.0561280666666289e-05,-0.10394999999999999
0.7698749377310503,0.7642422209473531,0.7590121272055377,0.25416484080586166,0.15317047917700125,-0.5488189878139003,9.676309333333181e-06,1.050213066666633e-05,-0.10421999999999998
0.7785718570404754,0.7698749377310503,0.7642422209473531,-0.4688571868218317,0.25416484080586166,0.15317047917700125,7.364491666666487e-06,9.676309333333181e-06,-0.10489999999999977
0.7857980966543063,0.7785718570404754,0.7698749377310503,-0.17543510051430555,-0.4688571868218317,0.25416484080586166,6.654360999999798e-06,7.364491666666487e-06,-0.10492000000000012
